type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
数据分析师,数据分析师[朝阳门],信永中和,15000,25000,经验3-5年,本科,专业服务｜咨询 / 不需要融资 / 2000人以上,2000,可视化/BI,"环境好,不加班,大公司",https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/90/AF/CgotOVujRpOAXPDRAABysG5nmgE703.png,北京
数据分析师,数据分析师[马连洼],微博,20000,40000,经验3-5年,本科,社交媒体 / 上市公司 / 2000人以上,2000,MySQL/社交媒体,大牛多,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/0D/CgYXBlTUWCCAdkhOAABNgyvZQag818.jpg,北京
数据分析师,数据分析师[四惠],君禾世纪,12000,18000,经验1-3年,本科,移动互联网 / 不需要融资 / 500-2000人,500-2000,PL/SQL/Shell/R语言/金融业/Python,公司平台大 发展前景好 扁平化管理,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/57/FA/CgpOIF325gqANBkjAABFmegMkOs337.png,北京
数据分析师,数据分析师[来广营],鲸灵数据,18000,30000,经验3-5年,本科,"数据服务｜咨询,人工智能服务 / 未融资 / 50-150人",50-150,云计算/大数据/需求分析/BI,弹性时间，氛围舒适,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/34/B4/Ciqc1F8TOh-ABZYXAADkepzazpA608.png,北京
数据分析师,数据分析师[三元桥],上海唯都,12000,15000,经验3-5年,本科,营销服务｜咨询 / 未融资 / 500-2000人,500-2000,数据运营/可视化/营销服务｜咨询/汽车交易平台/SQL,汽车行业 精准营销咨询 CRM专业团队,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/7D/C2/CgpFT1pTNFeAUTG0AAAHd1As8JI760.png,北京
数据分析师,数据分析师[科技园区],牧歌咨询,8000,10000,经验1-3年,本科,"专业服务｜咨询,信息检索 / 不需要融资 / 15-50人",15-50,科技金融/IT技术服务｜咨询,很nice的领导和团队工作气氛,https://www.lgstatic.com/thumbnail_120x120/10/087a2e96a84242b79cfedbaf7cab1ac7.png,北京
数据分析师,数据分析师[朝阳区],嘉信数金,10000,20000,经验3-5年,本科,数据服务｜咨询 / 未融资 / 50-150人,50-150,数据服务｜咨询,扁平化管理，团队nice,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/4F/50/CioPOWD42J-AZq4BAAJs9rJPQqA629.jpg,北京
数据分析师,数据分析师[海淀区],浮德光电,18000,30000,经验3-5年,本科,"人工智能,工具 / 不需要融资 / 150-500人",150-500,物联网/SQL,福利好,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/84/88/CioPOWKVkpOAZ354AAAIrd1GvQc620.png,北京
数据分析师,资深数据分析师-飞书[海淀区],字节跳动,25000,50000,经验不限,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,团队氛围好,带薪休假",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,数据分析师-音乐方向[海淀区],字节跳动,15000,30000,经验1-3年,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,六险一金,股票期权",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
